idx         -e        time(s)           relative         enabled geometry description                                              
  0          3         0.0017             0.1129         ONLY: PoolCoversub                                                        
  1         73         0.0017             0.1138         ONLY: GZ1.B05_06_FlangeI_Web_FlangeII                                     
  2         52         0.0017             0.1144         ONLY: GLb2.bt01_FlangeI_Web_FlangeII                                      
  3         72         0.0017             0.1144         ONLY: GZ1.B04_05_FlangeI_Web_FlangeII                                     
  4         50         0.0017             0.1147         ONLY: GLb1.up01_FlangeI_Web_FlangeII                                      
  5         57         0.0017             0.1154         ONLY: GLb1.bt06_FlangeI_Web_FlangeII                                      
  6         51         0.0017             0.1158         ONLY: GLb2.equ_FlangeI_Web_FlangeII                                       
  7         92         0.0018             0.1182         ONLY: solidSJReceiver                                                     
  8         86         0.0018             0.1182         ONLY: ZC2.B03_B03_FlangeI_Web_FlangeII                                    
  9         76         0.0018             0.1184         ONLY: ZC2.A03_B03_FlangeI_Web_FlangeII                                    
 10         98         0.0018             0.1184         ONLY: sStrutBallhead                                                      
 11         87         0.0018             0.1185         ONLY: ZC2.B05_B05_FlangeI_Web_FlangeII                                    
 12         88         0.0018             0.1186         ONLY: ZC2.A03_A03_FlangeI_Web_FlangeII                                    
 13         28         0.0018             0.1196         ONLY: GLw2.equ_up01_FlangeI_Web_FlangeII                                  
 14         58         0.0018             0.1205         ONLY: GLb1.bt07_FlangeI_Web_FlangeII                                      
 15         31         0.0018             0.1205         ONLY: GLw3.bt02_bt03_FlangeI_Web_FlangeII                                 
 16         26         0.0018             0.1225         ONLY: GLw1.up02_up03_FlangeI_Web_FlangeII                                 
 17         33         0.0018             0.1233         ONLY: GLw2.bt04_bt05_FlangeI_Web_FlangeII                                 
 18         82         0.0018             0.1240         ONLY: ZC2.A04_B05_FlangeI_Web_FlangeII                                    
 19          7         0.0018             0.1241         ONLY: Upper_Chimney                                                       
 20         11         0.0019             0.1265         ONLY: sPanel                                                              
 21         22         0.0019             0.1266         ONLY: GLw1.up06_up07_FlangeI_Web_FlangeII                                 
 22         10         0.0019             0.1279         ONLY: sPanelTape                                                          
 23         12         0.0019             0.1293         ONLY: sPlane                                                              
 24          9         0.0019             0.1293         ONLY: sBar                                                                
 25         99         0.0020             0.1326         ONLY: uni1                                                                
 26        108         0.0020             0.1330         ONLY: HamamatsuR12860_PMT_20inch_inner_edge_solid                         
 27        109         0.0020             0.1334         ONLY: HamamatsuR12860_PMT_20inch_inner_ring_solid                         
 28        128         0.0020             0.1334         ONLY: PMT_3inch_cntr_solid                                                
 29        106         0.0020             0.1365         ONLY: HamamatsuR12860_PMT_20inch_plate_solid                              
 30         39         0.0021             0.1388         ONLY: GLw1.bt10_bt11_FlangeI_Web_FlangeII                                 
 31        110         0.0021             0.1394         ONLY: HamamatsuR12860_PMT_20inch_dynode_tube_solid                        
 32         62         0.0021             0.1412         ONLY: GLb3.bt11_FlangeI_Web_FlangeII                                      
 33        136         0.0021             0.1429         ONLY: mask_PMT_20inch_vetosMask                                           
 34        144         0.0021             0.1444         ONLY: sBottomRock                                                         
 35        126         0.0022             0.1460         ONLY: PMT_3inch_inner2_solid_ell_helper                                   
 36        142         0.0022             0.1460         ONLY: sOuterWaterPool                                                     
